order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance,restaurant_name,tags
90f442K,19,Beef Shawarma Bowl,2024-05-21,2024-05-21,5.13,28.39,Car,High,Sunny,0,6.94,Route_4,8164694c-d169-49e5-b3dc-44abecce0653,28,Male,City_6,30,3,Mediterranean,Weekly,No,Cold,1,5,Good,1,FALSE,TRUE,Mixed,0.7790839061,Car,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
ca9537F,19,Falafel (3 Pieces),2024-09-10,2024-09-10,13,43.46,Car,High,Snowy,0,-1.03,Route_1,f654f278-b499-4d5d-b1f1-e9486f810c9a,56,Other,City_8,6,4,Mediterranean,Monthly,No,Warm,4,3,Good,5,FALSE,FALSE,Car-only,0.8695095113,Car,Yes,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
6ee148S,19,Ayran Yogurt Drink,2024-02-08,2024-02-08,14.97,10.56,Bike,Low,Snowy,0,6.7,Route_3,42df16ec-40a1-45ac-8006-6dd648af353a,34,Female,City_4,38,3,Italian,Monthly,No,Cold,2,4,Poor,5,TRUE,TRUE,Car-only,0.2599376641,Bike,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
d0786bE,19,Baklava (1 Piece),2024-08-17,2024-08-17,10.93,21.26,Bike,High,Sunny,0,-1.96,Route_1,22f6d057-eca2-4f1f-a91e-6dc331c143dd,44,Female,City_1,43,1,Asian,Weekly,Yes,Hot,1,1,Good,4,FALSE,TRUE,Car-only,0.2296732235,Car,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
aaa70fC,42,Spaghetti Bolognese,2024-04-27,2024-04-27,9.4,10.31,Car,Medium,Rainy,0,3.35,Route_4,c9bb3f30-af6e-41b9-9c0a-996235c0f2ee,49,Other,City_5,43,5,Mediterranean,Weekly,Yes,Hot,1,5,Poor,2,FALSE,TRUE,Car-only,0.318352252,Car,No,Joe's Italian,"Italian,Pasta,Pizza"
ef212cB,42,Alfredo Pasta,2024-11-02,2024-11-02,3.31,46.15,Car,Low,Snowy,0,0.6,Route_4,40071b49-a8d5-4f43-887a-bf17dc8cfe20,20,Female,City_1,48,2,Mexican,Weekly,Yes,Warm,5,2,Fair,3,FALSE,TRUE,Mixed,0.9492445402,Car,Yes,Joe's Italian,"Italian,Pasta,Pizza"
c12e69A,42,Breadsticks,2024-01-13,2024-01-13,5.93,39.9,Bike,High,Rainy,0,12.89,Route_4,777604cd-e09d-40ac-9a54-91f50ae03f83,22,Male,City_10,48,2,Mexican,Monthly,No,Hot,3,2,Poor,1,FALSE,TRUE,Car-only,0.96597044,Car,Yes,Joe's Italian,"Italian,Pasta,Pizza"
d61392F,42,Canoli (1 Piece),2024-09-07,2024-09-07,2.1,28.63,Car,Low,Rainy,0,-4.71,Route_2,2951de37-86c9-4bf2-ac44-828aa2a952c0,32,Female,City_3,38,3,Mediterranean,Weekly,Yes,Hot,3,2,Good,5,FALSE,TRUE,Bike-friendly,0.1714144999,Bike,No,Joe's Italian,"Italian,Pasta,Pizza"
5cd582B,42,Napoli Pizza,2024-08-30,2024-08-30,9.59,22.46,Walk,Medium,Rainy,0,-1.65,Route_1,9dc7597a-11fb-438f-b3f2-16e6c4df439f,34,Male,City_4,20,3,Asian,Monthly,No,Hot,1,4,Fair,4,TRUE,FALSE,Car-only,0.4214183731,Car,No,Joe's Italian,"Italian,Pasta,Pizza"
d97188M,42,Mushroom Risotto,2024-01-13,2024-01-13,4.23,30.25,Car,Low,Rainy,0,-3.45,Route_4,22af39aa-a570-4bce-816e-d13fb13ee219,43,Other,City_2,38,2,Asian,Weekly,Yes,Hot,5,2,Poor,3,TRUE,TRUE,Bike-friendly,0.5879386163,Bike,No,Joe's Italian,"Italian,Pasta,Pizza"
424c4aH,42,Tiramisu,2024-10-30,2024-10-30,9.31,39.15,Bike,Medium,Sunny,0,-9.24,Route_2,5636433c-f549-4b11-92bd-32e1b4a85861,49,Other,City_9,9,4,Mediterranean,Weekly,Yes,Warm,2,4,Good,1,TRUE,FALSE,Mixed,0.5665119904,Bike,No,Joe's Italian,"Italian,Pasta,Pizza"
423d60T,47,Fried Chicken Bucket,2024-12-06,2024-12-06,3.05,16.86,Bike,High,Rainy,0,3.96,Route_3,f6fbaf95-1ca5-4217-ad53-8322c76af4c3,29,Other,City_8,50,5,Mediterranean,Weekly,Yes,Warm,1,2,Poor,2,TRUE,TRUE,Car-only,0.2994401728,Car,No,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
2cc19bN,47,Fried Chicken Leg,2024-03-09,2024-03-09,13.14,23.31,Car,Low,Snowy,0,-0.81,Route_3,9a531f9c-327a-4ae4-a594-b71357b525ee,49,Other,City_3,18,3,Italian,Monthly,No,Hot,5,5,Fair,4,TRUE,TRUE,Mixed,0.5961387173,Bike,No,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
aaf20eL,47,Fried Chicken Thigh,2024-06-01,2024-06-01,12.94,49.72,Bike,Low,Sunny,0,-9.77,Route_4,d1360fc2-dd81-43f2-ac37-6471a4000e7b,28,Male,City_7,36,1,American,Weekly,Yes,Warm,2,3,Poor,5,FALSE,TRUE,Car-only,0.5571084012,Car,No,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
784fdaS,47,Zinger Wrap,2024-12-01,2024-12-01,4.21,19.4,Walk,High,Snowy,0,1.94,Route_2,ec2a0a27-51de-4b3f-b77d-6ce5d3ce5d40,54,Other,City_6,17,2,Italian,Monthly,Yes,Warm,2,5,Good,3,FALSE,TRUE,Bike-friendly,0.7452150372,Car,No,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
1df4ccU,47,Fried Chicken Sandwich,2024-10-10,2024-10-10,4.63,22.3,Walk,High,Snowy,0,17.06,Route_2,ebcc4ddf-0e81-4548-98dc-988d782f8415,30,Other,City_1,48,5,Mediterranean,Monthly,Yes,Cold,1,3,Fair,2,TRUE,FALSE,Bike-friendly,0.9660100736,Car,Yes,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
dfd034Q,47,Chicken Wings (9 Pieces),2024-03-05,2024-03-05,10.32,25.24,Bike,Low,Snowy,0,7.16,Route_4,0283a844-f1f0-4631-90b3-4dab2d1a0c6c,27,Female,City_6,20,3,American,Weekly,Yes,Warm,4,4,Good,2,FALSE,FALSE,Car-only,0.8433373395,Car,Yes,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
bd07caJ,47,Cola,2024-10-24,2024-10-24,11.8,45.65,Car,Medium,Snowy,0,7.11,Route_2,a689bec4-6463-404c-9d33-bb0b4562a0c4,29,Male,City_8,14,5,Italian,Monthly,No,Warm,3,2,Fair,4,TRUE,FALSE,Mixed,0.1129384041,Bike,No,Chicken in the Kitchen,"Chicken,Fried Chicken,Fast Food"
e107daB,34,Cheese Pizza,2024-08-05,2024-08-05,3.77,8.48,Car,High,Rainy,0,19.18,Route_1,1b8e11d1-65b9-4e8b-b42b-2b0d23aa3a6b,36,Other,City_9,37,4,Asian,Weekly,No,Hot,5,5,Fair,1,TRUE,TRUE,Car-only,0.7265973139,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
90b911T,34,Pepperoni Pizza,2024-06-02,2024-06-02,2.98,8.7,Car,High,Snowy,0,-2.67,Route_3,8da47b3c-afa2-45e4-ad4d-c38b0cd95f7e,59,Other,City_4,1,4,Mexican,Monthly,No,Hot,1,5,Fair,4,FALSE,TRUE,Bike-friendly,0.003103063885,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
23fbabU,34,Veggie Pizza,2024-07-27,2024-07-27,4.3,40.18,Walk,Low,Rainy,0,-1.86,Route_5,ba2dc014-9d9d-4844-83be-aa76362f40a0,18,Other,City_4,31,1,American,Weekly,No,Hot,3,4,Fair,5,TRUE,FALSE,Bike-friendly,0.5820972058,Bike,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
611279H,34,BBQ Chicken Pizza,2024-03-20,2024-03-20,14.5,27.35,Bike,Low,Sunny,0,9.78,Route_1,58683c40-38f2-4597-aa9d-3f76b057aa03,20,Male,City_2,39,3,Mexican,Weekly,No,Warm,1,3,Fair,5,TRUE,FALSE,Bike-friendly,0.08350628076,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
c73b31M,34,Meat Lovers' Pizza,2024-07-04,2024-07-04,14.76,29.26,Car,High,Sunny,0,-0.78,Route_2,a6ac3bb3-0cfa-47de-8689-b10f3cc51b1f,36,Female,City_8,14,1,Mexican,Weekly,Yes,Cold,1,5,Poor,3,FALSE,TRUE,Bike-friendly,0.7345357645,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
2d6346C,34,Butter Chicken Pizza,2024-01-13,2024-01-13,4.96,29.52,Walk,Low,Snowy,0,8.05,Route_2,7be81d42-b46c-4141-a97f-b012d28e8214,43,Male,City_1,14,4,Mediterranean,Weekly,Yes,Cold,1,3,Fair,5,TRUE,TRUE,Car-only,0.5939017567,Bike,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
96e864S,34,Cheese Sticks,2024-10-08,2024-10-08,7.57,8.87,Bike,Low,Rainy,0,9.86,Route_1,6fda6e77-0a8c-46df-ad75-7a13d8a88c49,19,Other,City_6,43,1,Italian,Weekly,Yes,Warm,2,5,Good,3,TRUE,FALSE,Car-only,0.04507806943,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
bc5eeaJ,34,Mediterranian Pizza,2024-01-18,2024-01-18,3.34,23.39,Car,Low,Rainy,0,6.95,Route_3,47935255-2c89-418f-9613-a3299f260d98,42,Male,City_4,23,3,American,Monthly,Yes,Warm,3,4,Good,3,FALSE,FALSE,Car-only,0.7927830286,Car,No,K-Town Pizza,"Fast Food,Pizza,Fast Food Fusion"
199abbS,22,Butter Chicken,2024-11-14,2024-11-14,8.95,27,Car,High,Sunny,0,3.01,Route_4,1ffce46f-cb9c-4e3f-9e42-623c55103e2f,33,Female,City_5,40,5,Mediterranean,Weekly,Yes,Hot,5,5,Fair,2,FALSE,TRUE,Mixed,0.8011856126,Car,Yes,Sambu's Indian,"Indian,Curry,Spicy"
463698F,22,Chicken Tikka Masala,2024-08-28,2024-08-28,2.38,45.92,Walk,High,Rainy,0,2.41,Route_4,95938011-9870-42af-8085-da84caf523a2,24,Male,City_2,24,5,American,Monthly,No,Cold,1,1,Fair,5,FALSE,TRUE,Car-only,0.8767034412,Car,Yes,Sambu's Indian,"Indian,Curry,Spicy"
2ea3b2M,22,Chicken Korma,2024-07-17,2024-07-17,9.79,49.91,Bike,Low,Sunny,0,-0.49,Route_4,1725038e-7d61-488a-97fb-82e4b7c4f5c2,52,Male,City_2,37,2,Mexican,Weekly,No,Warm,2,2,Poor,3,TRUE,FALSE,Mixed,0.448300937,Bike,No,Sambu's Indian,"Indian,Curry,Spicy"
a6572bI,22,Naan (1 Piece),2024-01-05,2024-01-05,11.23,20.74,Car,Medium,Snowy,0,19.77,Route_1,1d23bd2a-0ac4-4d39-b65b-348208889a77,49,Female,City_5,12,3,American,Weekly,Yes,Hot,4,4,Good,4,TRUE,FALSE,Bike-friendly,0.1232291432,Bike,No,Sambu's Indian,"Indian,Curry,Spicy"
d70863K,22,Garlic Naan (1 Piece),2024-04-07,2024-04-07,14.07,27.62,Car,High,Snowy,0,18.52,Route_2,4ddbc080-1931-4c39-906d-e2a87ce184b0,55,Other,City_8,18,3,American,Monthly,No,Warm,4,5,Good,2,TRUE,TRUE,Car-only,0.8214007138,Car,Yes,Sambu's Indian,"Indian,Curry,Spicy"
1ec577W,22,Mutton Biryani,2024-10-11,2024-10-11,13.11,14.97,Walk,Medium,Snowy,0,15.52,Route_1,542aa3d2-3669-42b4-94f8-7d782d24cec6,23,Male,City_1,1,5,Italian,Monthly,Yes,Warm,1,4,Good,4,FALSE,FALSE,Bike-friendly,0.4201631618,Car,No,Sambu's Indian,"Indian,Curry,Spicy"
497788R,22,Chicken Biryani,2024-08-11,2024-08-11,6.43,8,Bike,High,Snowy,0,6.9,Route_3,7420f93a-e302-4a8d-9392-126b67c8b628,39,Female,City_6,41,1,Italian,Monthly,No,Cold,4,1,Good,5,TRUE,FALSE,Car-only,0.758490671,Car,No,Sambu's Indian,"Indian,Curry,Spicy"
ff46e1U,22,Pani Puri (3 Pieces),2024-06-20,2024-06-20,10.45,18.73,Walk,High,Sunny,0,6.33,Route_1,549c62f4-60c3-4bb1-8b69-96b8179d03d9,40,Male,City_5,47,4,American,Weekly,No,Warm,2,2,Fair,1,FALSE,TRUE,Car-only,0.2436572373,Car,No,Sambu's Indian,"Indian,Curry,Spicy"
